Temperature,"(1.74, 0.39602)","(3.96, 0.33411)","(5.32, 0.3105)","(6.38, 0.29554)","(7.3, 0.28537)","(8.12, 0.27778)","(8.86, 0.27133)","(9.54, 0.26572)"
0.01,0,0,9,0,0,0,0,0
0.1,0,0,9,0,0,0,0,0
1,3,1,0,2,1,2,0,0
5,3,3,2,0,0,0,0,1
10,2,0,1,1,2,1,0,2
20,2,1,2,1,0,0,1,2
